ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,isocode,Glottolog_Name
Achang_Lianghe_Burmish,Achang_Lianghe_Burmish,,24.3479,97.7438,acha1249,,,acn,Longchuan Achang
Achang_Longchuan_Burmish,Achang_Longchuan_Burmish,,24.3479,97.7438,acha1249,,,acn,Longchuan Achang
Achang_Luxi_Burmish,Achang_Luxi_Burmish,,24.3479,97.7438,acha1249,,,acn,Longchuan Achang
Achang_Xiandao_Burmish,Achang_Xiandao_Burmish,,24.3479,97.7438,acha1249,,,acn,Longchuan Achang
Angami_Kohima_Naga,Angami_Kohima_Naga,,25.6841,93.8668,anga1288,,xd700,njm,Angami Naga
Anong_Nungish,Anong_Nungish,,27.2887,98.7333,nung1282,,,nun,Nung (Myanmar)
Ao_Chungli_Naga,Ao_Chungli_Naga,,26.3241,94.3824,aona1235,,,njo,Ao Naga
Ao_Mongsen_Naga,Ao_Mongsen_Naga,,26.3241,94.3824,aona1235,,xd701,njo,Ao Naga
Apatani_Tani,Apatani_Tani,,27.1933,93.7284,apat1240,,,apt,Apatani
Atong_Sal,Atong_Sal,,25.346508,90.658722,aton1241,,,aot,Atong (India)
Atsi_Zaiwa_Burmish,Atsi_Zaiwa_Burmish,,24.1726,98.3643,zaiw1241,,,atb,Zaiwa
Bengni_Tani,Bengni_Tani,,27.278263,93.675529,nyis1236,,,njz,Nyishi-Hill Miri
Bodo_Sal,Bodo_Sal,,26.1,92.0,bodo1269,,,brx,Bodo-Mech
Bokar_Lhoba_Tani,Bokar_Lhoba_Tani,,27.62812,94.3538,bori1243,,xd653,adi,Bori-Karko
Bola_Luxi_Burmish,Bola_Luxi_Burmish,,24.2142,97.9183,pela1242,,,bxd,Pela
Burmese_Spoken_Rangoon_Burmese,Burmese_Spoken_Rangoon_Burmese,,20.7926,93.9665,nucl1310,,xd709,mya,Burmese
Caodeng_rGyalrongic,Caodeng_rGyalrongic,,31.60295,102.22875,jiar1240,,,jya,Northern Gyalrong
Chang_Sal,Chang_Sal,,26.4336,94.9536,chan1313,,,nbc,Chang Naga
Chepang_Himalayan,Chepang_Himalayan,,27.7206,84.9017,chep1245,,,cdm,Chepang
Chinese_Mandarin_Chinese,Chinese_Mandarin_Chinese,,40.0209,116.228,mand1415,,xd639,cmn,Mandarin Chinese
Chinese_Old_Chinese,Chinese_Old_Chinese,,36.12,114.32,oldc1244,,,och,Old Chinese
Cuona_Mama_Bodish,Cuona_Mama_Bodish,,27.3762,91.8245,dakp1242,,,twm,Dakpakha
Cuona_Menba_Bodish,Cuona_Menba_Bodish,,27.3762,91.8245,dakp1242,,,twm,Dakpakha
Daai_KukiChin,Daai_KukiChin,,20.7347,93.7853,daai1236,,,dao,Daai Chin
Daofu_rGyalrongic,Daofu_rGyalrongic,,31.1026,101.72,horp1239,,,ero,Stau-Dgebshes
Darang_Taraon_Diagarish,Darang_Taraon_Diagarish,,28.4993,96.8803,diga1241,,,mhu,Tawra
Dimasa_Sal,Dimasa_Sal,,25.4198,93.1806,dima1251,,,dis,Dimasa
Ergong_Danba_rGyalrongic,Ergong_Danba_rGyalrongic,,31.1026,101.72,horp1239,,,ero,Stau-Dgebshes
Ersu_Ersuish,Ersu_Ersuish,,29.2867,102.213,ersu1241,,,ers,Ersu
Garo_Sal,Garo_Sal,,25.2954,90.462,garo1247,,xd696,grt,Garo
Gurung_Ghachok_TG,Gurung_Ghachok_TG,,27.41687,86.28988,guru1261,,,gvr,Gurung
Hani_Caiyuan_Ngwi,Hani_Caiyuan_Ngwi,,22.67753,102.851673333,hani1248,,,hni,Hani
Hani_Dazhai_Ngwi,Hani_Dazhai_Ngwi,,22.67753,102.851673333,hani1248,,,hni,Hani
Hani_Gelanghe_Ngwi,Hani_Gelanghe_Ngwi,,22.67753,102.851673333,hani1248,,,hni,Hani
Hani_Luchun_Ngwi,Hani_Luchun_Ngwi,,22.67753,102.851673333,hani1248,,,hni,Hani
Hani_Mojiang_Ngwi,Hani_Mojiang_Ngwi,,23.2074,101.886,honi1244,,,how,Honi
Hani_Shuikui_Ngwi,Hani_Shuikui_Ngwi,,22.67753,102.851673333,hani1248,,,hni,Hani
Hayu_Kiranti,Hayu_Kiranti,,27.3047,86.1227,wayu1241,,,vay,Wayu
Idu_Diagarish,Idu_Diagarish,,29.4473,95.6472,idum1241,,,clk,Idu
Jingpho_Sal,Jingpho_Sal,,25.4634,97.3278,kach1280,,xd711,kac,Southern Jinghpaw
Jinuo_Youle_Ngwi,Jinuo_Youle_Ngwi,,22.0473,101.057,youl1235,,,jiu,Youle Jinuo
Kanauri_Kinauri,Kanauri_Kinauri,,31.3688,78.3148,kinn1249,,,kfk,Kinnauri
Karen_Karenic,Karen_Karenic,,17.9872,97.7126,sgaw1245,,,ksw,S'gaw Karen
Kayan_Pekon_Karenic,Kayan_Pekon_Karenic,,19.5183,97.4138,kaya1315,,,pdu,Kayan Lahwi
Khaling_Kiranti,Khaling_Kiranti,,27.3912,87.5053,khal1275,,,klr,Khaling
Khumi_KukiChin,Khumi_KukiChin,,22.87125,92.9894633333,khum1248,,,cnk,Khumi Chin
Konyak_Sal,Konyak_Sal,,26.6823,95.0598,kony1248,,,nbe,Konyak Naga
Lahu_Lancang_Ngwi_Lahu,Lahu_Lancang_Ngwi_Lahu,,21.2701,100.214,lahu1253,,,lhu,Lahu
Lahu_Yellow_Ngwi_Lahu,Lahu_Yellow_Ngwi_Lahu,,21.2078,100.97,lahu1252,,,lhi,Lahu Shi
Langsu_Luxi_Burmish,Langsu_Luxi_Burmish,,24.942535,99.8338,maru1249,,,mhx,Maru
Leqi_Luxi_Burmish,Leqi_Luxi_Burmish,,26.0992,98.5481,lash1243,,,lsi,Lashi
Liangmei_Naga,Liangmei_Naga,,25.16,93.542,lian1251,,,njn,Liangmai Naga
Limbu_Kiranti,Limbu_Kiranti,,27.2703,87.8859,limb1266,,,lif,Limbu
Lisu_Central_Ngwi,Lisu_Central_Ngwi,,26.91,98.94,lisu1250,,,lis,Lisu
Lisu_Northern_Ngwi,Lisu_Northern_Ngwi,,26.91,98.94,lisu1250,,,lis,Lisu
Lotha_Naga_Naga,Lotha_Naga_Naga,,26.01396,94.04355,loth1237,,xd707,njh,Lotha Naga
Lyuzu_Ersuish,Lyuzu_Ersuish,,28.333425,101.350309,lizu1234,,,,Lizu
Magar_Himalayan,Magar_Himalayan,,28.2462,83.511,west2418,,xd660,mrd/mgp,Western Magar
Manang_Gyaru_TG,Manang_Gyaru_TG,,28.6416,84.0515,mana1288,,,nmm,Manange
Manang_Prakaa_TG,Manang_Prakaa_TG,,28.6416,84.0515,mana1288,,,nmm,Manange
Marma_Burmese,Marma_Burmese,,22.759948,92.210748,marm1234,,,rmz,Marma
Matu_KukiChin,Matu_KukiChin,,23.312,92.83,ngal1291,,,hlt,Nga La
Mpi_Ngwi,Mpi_Ngwi,,18.1717,100.21,mpii1239,,,mpz,Mpi
Muya_Minyak_Qiangic,Muya_Minyak_Qiangic,,29.8226,102.205,muya1239,,,mvm,Muya
Namuyi_Naic,Namuyi_Naic,,28.5909,101.898,namu1246,,,nmy,Namuyi
Naxi_Lijiang_Naic,Naxi_Lijiang_Naic,,27.5,100.0,naxi1245,,,nxq,Naxi
Naxi_Yongning_Naic,Naxi_Yongning_Naic,,27.5,100.0,naxi1245,,,nxq,Naxi
Ngmuun_KukiChin,Ngmuun_KukiChin,,20.289,94.3929,munc1235,,,mwq,MÃ¼n Chin
Nusu_Central_Nusu,Nusu_Central_Nusu,,26.7292,98.8801,nusu1239,,,nuf,Nusu
Nusu_Northern_Nusu,Nusu_Northern_Nusu,,26.7292,98.8801,nusu1239,,,nuf,Nusu
Nusu_Southern_Nusu,Nusu_Southern_Nusu,,26.7292,98.8801,nusu1239,,,nuf,Nusu
Pattani_Kinauri,Pattani_Kinauri,,32.6963,76.5966,patt1248,,,lae,Pattani
Pa_O_Karenic,Pa_O_Karenic,,20.211,97.5969,paok1235,,,blk,Pa'o Karen
Phom_Sal,Phom_Sal,,26.4715,94.7476,phom1236,,,nph,Phom Naga
Pumi_Qinghua_Qiangic_Pumi,Pumi_Qinghua_Qiangic_Pumi,,27.8408,100.622,sout2729,,,pmj,Southern Pumi
Pumi_Taoba_Qiangic_Pumi,Pumi_Taoba_Qiangic_Pumi,,28.6626,101.305,nort2723,,,pmi,Northern Pumi
Qiang_Longxi_Qiangic,Qiang_Longxi_Qiangic,,32.2766,103.192,nort2722,,,cng,Northern Qiang
Qiang_Mawo_Qiangic,Qiang_Mawo_Qiangic,,32.2766,103.192,nort2722,,,cng,Northern Qiang
Queyu_Yajiang_Qiangic,Queyu_Yajiang_Qiangic,,30.3113,100.813,quey1238,,,qvy,Queyu
rGyalrong_Maerkang_rGyalrongic,rGyalrong_Maerkang_rGyalrongic,,31.60295,102.22875,jiar1240,,,jya,Northern Gyalrong
Rongmei_Naga,Rongmei_Naga,,25.098,93.7869,rong1266,,,nbu,Rongmei Naga
Sak_Sal,Sak_Sal,,21.4134,92.5953,chak1270,,,ckh,Chak
Sangtam_Naga,Sangtam_Naga,,25.8581,94.6279,sang1321,,,nsa,Sangtam Naga
Sema_Sumi_Naga,Sema_Sumi_Naga,,25.9996,94.4235,sumi1235,,xd703,nsm,Sumi Naga
Sunwar_Kiranti,Sunwar_Kiranti,,27.5201,86.2476,sunw1242,,,suz,Sunwar
Tamang_TG,Tamang_TG,,28.0239,85.0563,west2415,,,tdg,Western Tamang
Tangkhul_Tangkhulic,Tangkhul_Tangkhulic,,25.0489,94.3567,tang1336,,,nmf,East-Central Tangkhul Naga
Thado_KukiChin,Thado_KukiChin,,24.096,93.722,thad1238,,xd699,tcz,Thado Chin
Thakali_TG,Thakali_TG,,28.7014,83.6466,thak1245,,,ths,Thakali
Thulung_Kiranti,Thulung_Kiranti,,27.5389,87.6063,thul1246,,,tdh,Thulung
Tibetan_Amdo_Blabrang_Tibetan,Tibetan_Amdo_Blabrang_Tibetan,,34.5177,100.485,amdo1237,,,adx,Amdo Tibetan
Tibetan_Amdo_Zeku_Tibetan,Tibetan_Amdo_Zeku_Tibetan,,34.5177,100.485,amdo1237,,,adx,Amdo Tibetan
Tibetan_Batang_Tibetan,Tibetan_Batang_Tibetan,,31.9313,91.7062,kham1282,,,khg,Khams Tibetan
Tibetan_Jirel_Tibetan,Tibetan_Jirel_Tibetan,,27.6931,86.3201,jire1238,,,jul,Jirel
Tibetan_Khams_Tibetan,Tibetan_Khams_Tibetan,,31.9313,91.7062,kham1282,,,khg,Khams Tibetan
Tibetan_Lhasa_Tibetan,Tibetan_Lhasa_Tibetan,,28.3681,90.1872,tibe1272,,xd656,bod,Tibetan
Tibetan_Xiahe_Tibetan,Tibetan_Xiahe_Tibetan,,34.5177,100.485,amdo1237,,,adx,Amdo Tibetan
Tiddim_KukiChin,Tiddim_KukiChin,,23.6079,93.519,tedi1235,,,ctd,Tedim Chin
Trung_Dulong_Nungish,Trung_Dulong_Nungish,,28.00792,98.49449,drun1238,,,duu,Drung
Trung_Nujiang_Nungish,Trung_Nujiang_Nungish,,28.00792,98.49449,drun1238,,,duu,Drung
Xumi_Naic,Xumi_Naic,,28.3895,100.4,shix1238,,,sxg,Shixing
Yi_Dafang_Ngwi,Yi_Dafang_Ngwi,,25.7707,102.367,wusa1235,,,yig,Wusa Nasu
Yi_Mile_Ngwi,Yi_Mile_Ngwi,,24.6009,103.713,axiy1235,,,yix,Axi Yi
Yi_Mojiang_Ngwi,Yi_Mojiang_Ngwi,,23.058,101.412,sout2723,,,nsd,Southern Nisu
Yi_Nanjian_Ngwi,Yi_Nanjian_Ngwi,,24.8709,100.711,xish1235,,,ywt,Xishanba Lalo
Yi_Sani_Ngwi,Yi_Sani_Ngwi,,24.278,103.759,sani1269,,,ysn,Sani
Yi_Weishan_Ngwi,Yi_Weishan_Ngwi,,24.8709,100.711,xish1235,,,ywt,Xishanba Lalo
Yi_Wuding_Ngwi,Yi_Wuding_Ngwi,,25.48,102.48,wudi1238,,,ywq,Wuding-Luquan Yi
Zeme_Naga,Zeme_Naga,,25.3499,93.6463,zeme1240,,,nzm,Zeme Naga
